gene_id	MW1_cornea_mock_1	MW2_cornea_mock_2	MW3_cornea_mock_3	MW4_cornea_CoV2_1	MW5_cornea_CoV2_2	MW6_cornea_CoV2_3
SAP25	28.6997748543576	34.1261509068861	76.9985353818596	40.9286253473308	67.3996069346924	35.6799137039555
SAP30	292.935632996202	300.135122078511	261.210221295422	219.335453784414	192.287113901916	237.494425591954
SAP30BP	926.309974609612	854.903831693019	776.808008852432	818.572506946616	759.236748705505	813.948031371486
SAP30L	374.08672051542	394.638309205273	376.220691865795	464.907205868399	446.026810597229	437.078942873455
SAP30L-AS1	0.989647408770953	2.62508853129893	5.847990029002	3.14835579594852	9.91170690216064	1.11499730324861
SAPCD1-AS1	6.92753186139667	3.50011804173191	4.87332502416833	3.14835579594852	4.95585345108032	2.22999460649722
SAPCD2	112.819804599889	106.753600272823	121.833125604208	61.9176639869876	45.593851749939	82.5098004403972
SAR1A	4155.52946942923	4288.51963063202	3980.53187974069	4001.56021665057	4016.22363675549	3952.66544001632
SAR1B	902.558436799109	957.282284413678	995.132969935173	897.281401845329	978.285471243256	836.247977436458
SARAF	3831.91476676113	4169.51561721314	3648.17111309241	4182.06594895162	3503.78838991379	4170.0899141498
SARDH	74.2235556578215	70.0023608346382	95.5171704736993	81.8572506946616	79.2936552172851	64.6698435884194
SARM1	483.937582888996	456.765404446014	541.913742687518	504.786379283747	518.382270983002	525.163729830095
SARNP	1053.97449034107	1026.40961573788	905.463789490476	877.341815137655	776.086650439178	899.802823721629
SARS	4409.86885348337	4257.89359776687	3302.16503637646	4065.57678450153	3564.24980201697	4444.37925074896
SARS2	326.583644894415	273.009207255089	315.791461566108	285.450925499333	307.26291396698	304.394263786871
SART1	1609.16668666157	1380.79656746324	1296.30445642878	1392.62271374123	1258.7867765744	1399.32161557701
SART3	1056.94343256738	1048.28535349871	998.056964949674	1074.63877835043	1009.01176263995	977.852634949031
SASH1	3055.04155087593	3086.22908329711	3412.30218192266	3262.74605653465	3592.00258134302	3152.09737628382
SASH3	0	0	0	1.04945193198284	0	0
SASS6	144.488521680559	126.004249502349	133.529105662212	99.6979335383699	136.781555249817	79.1648085306513
SAT1	1356.80659742498	1340.54520998332	1126.71274558772	1280.33135701907	1113.08468511264	1317.92681243986
SAT2	740.256261760673	728.024552680238	707.606793509241	775.54497773532	621.464022765472	788.303093396768
SATB1	212.774192885755	249.383410473399	230.020941140745	317.983935390801	318.165791559357	295.474285360882
SATB2	186.053712848939	201.256787399585	236.843596174581	296.994896751144	276.536622570282	246.414404017943
SATL1	0	0.875029510432978	0.974665004833666	1.04945193198284	1.98234138043213	0
SAV1	704.628955044919	796.27685449401	716.378778552745	887.836334457484	733.466310759888	755.968171602558
SAXO1	0.989647408770953	0.875029510432978	0.974665004833666	1.04945193198284	0.991170690216064	1.11499730324861
SAXO2	16.8240059491062	17.5005902086596	21.4426301063407	31.4835579594852	27.7527793260498	24.5299406714694
SAYSD1	210.794898068213	202.131816910018	180.313025894228	227.731069240277	199.225308733429	220.769466043225
SBDS	2636.42069696582	2654.83953465365	2205.66690593859	2323.48657741001	1904.03889590506	2334.80435300259
SBDSP1	810.521227783411	798.026913514876	729.049423615582	662.204169081173	611.552315863312	712.483276775862
SBF1	2124.77298663124	1803.43582100237	2251.47616116577	2191.25563398017	2637.50520666495	2392.78421277152
SBF2	1097.51897632699	1143.6635701359	1246.59654118226	1283.47971281501	1351.95682145471	1109.42231673237
SBF2-AS1	257.308326280448	355.261981235789	299.222156483935	454.41268654857	481.708955445007	466.068872757919
SBK1	0.989647408770953	0	0	2.09890386396568	0.991170690216064	1.11499730324861
SBK2	0.989647408770953	0	0	0	0	0
SBK3	2.96894222631286	0.875029510432978	0	0	0	1.11499730324861
SBNO1	1472.59534425118	1610.92932870711	1769.99164877794	1741.04075515953	1912.959432117	1507.47635399212
SBNO2	1440.92662717051	1468.29951850654	2049.7205051652	1730.54623583971	1849.52450794318	1610.05610589099
SBSN	18.8033007666481	13.1254426564947	21.4426301063407	19.939586707674	25.7704379456177	16.7249595487292
SBSPON	1.97929481754191	1.75005902086596	1.94933000966733	0	0	0
SC5D	1324.14823293554	1480.5499316526	1359.65768174296	1626.6504945734	1698.86656303033	1739.39579306783
SCAANT1	0	0	0.974665004833666	0	2.97351207064819	1.11499730324861
SCAF1	1172.73217939358	1075.41126832213	1206.63527598408	1113.46849983379	1251.84858174289	1128.37727088759
SCAF11	3084.73097313906	3183.35735895517	3417.17550694683	2983.59184262722	3531.54116923984	2750.69834711432
SCAF4	866.931130083355	805.902179108773	887.91981940347	810.176891490753	912.868205688995	837.362974739706
SCAF8	1174.71147421112	1196.16534076188	1169.5980058004	1157.54548097707	1206.25472999295	1024.68252168547
SCAI	318.666465624247	285.259620401151	374.271361856128	396.692830289514	472.788419233063	346.764161310318
SCAMP1	1105.43615559715	1186.54001614712	1165.69934578106	1156.49602904509	1104.1641489007	1005.72756753025
SCAMP1-AS1	81.1510875192182	99.7533641893595	104.289155517202	104.945193198284	111.011117304199	121.534706054099
SCAMP2	1698.23495345096	1566.30282367503	1313.84842651578	1535.3481764909	1358.89501628622	1821.90559350823
